间隔天数,预测值,实际值
1,13755.5977,12058.5889
6,14232.9,12212.3613
5,14038.1299,12212.3613
4,14038.1299,12212.3613
3,14038.1299,12212.3613
2,14038.1299,12212.3613
1,14038.1299,12212.3613
6,14345.95,12323.0566
5,14151.1797,12323.0566
4,14151.1797,12323.0566
3,14151.1797,12323.0566
2,14151.1797,12323.0566
1,14151.1797,12323.0566
6,14592.12,12462.1406
5,14397.3477,12462.1406
4,14397.3477,12462.1406
3,14397.3477,12462.1406
2,14397.3477,12462.1406
1,14397.3477,12462.1406
6,14943.54,12735.7275
5,14748.7744,12735.7275
4,14748.7744,12735.7275
3,14748.7744,12735.7275
2,14748.7744,12735.7275
1,14748.7744,12735.7275
6,15393.86,13160.4736
5,15199.0908,13160.4736
4,15199.0908,13160.4736
3,15199.0908,13160.4736
2,15199.0908,13160.4736
1,15199.0908,13160.4736
6,15801.0,13492.9277
5,15606.2334,13492.9277
4,15606.2334,13492.9277
3,15606.2334,13492.9277
2,15606.2334,13492.9277
1,15606.2334,13492.9277
6,15799.42,13586.4209
5,15604.6523,13586.4209
4,15604.6523,13586.4209
3,15604.6523,13586.4209
2,15604.6523,13586.4209
1,15604.6523,13586.4209
6,15540.12,13392.0557
5,15345.3516,13392.0557
4,15345.3516,13392.0557
3,15345.3516,13392.0557
2,15345.3516,13392.0557
1,15345.3516,13392.0557
6,15469.64,13262.2666
5,15274.8662,13262.2666
4,15274.8662,13262.2666
3,15274.8662,13262.2666
2,15274.8662,13262.2666
1,15274.8662,13262.2666
6,15227.07,13062.6934
5,15032.2969,13062.6934
4,15032.2969,13062.6934
3,15032.2969,13062.6934
2,15032.2969,13062.6934
1,15032.2969,13062.6934
6,15016.19,12959.9082
5,14821.4219,12959.9082
4,14821.4219,12959.9082
3,14821.4219,12959.9082
2,14821.4219,12959.9082
1,14821.4219,12959.9082
6,14883.27,12698.9473
5,14688.499,12698.9473
4,14688.499,12698.9473
3,14688.499,12698.9473
2,14688.499,12698.9473
1,14688.499,12698.9473
6,14703.23,12657.0127
5,14508.4639,12657.0127
4,14508.4639,12657.0127
3,14508.4639,12657.0127
2,14508.4639,12657.0127
1,14508.4639,12657.0127
6,14631.2,12543.3291
5,14436.4297,12543.3291
4,14436.4297,12543.3291
3,14436.4297,12543.3291
2,14436.4297,12543.3291
1,14436.4297,12543.3291
6,14579.43,12500.0898
5,14384.6611,12500.0898
4,14384.6611,12500.0898
3,14384.6611,12500.0898
2,14384.6611,12500.0898
