间隔天数,预测值,实际值
4,2123.04,2902.012
3,2047.51,2902.012
2,1685.62,2902.012
1,1685.62,2902.012
5,1688.35,2710.5562
4,2051.42,2710.5562
3,1978.03,2710.5562
2,1399.43,2710.5562
1,1399.43,2710.5562
5,1594.96,2578.2102
4,1929.67,2578.2102
3,1860.16,2578.2102
2,1118.45,2578.2102
1,1118.45,2578.2102
5,1514.03,2385.6714
4,1815.94,2385.6714
3,1723,2385.6714
2,858.77,2385.6714
1,858.77,2385.6714
5,1418.24,2176.523
4,1691.72,2176.523
3,1581.57,2176.523
2,636.18,2176.523
1,636.18,2176.523
5,1292.7,1905.1373
4,1535.41,1905.1373
3,1418.14,1905.1373
2,466.49,1905.1373
1,466.49,1905.1373
5,1126.82,1542.2612
4,1334.04,1542.2612
3,1216.63,1542.2612
2,365.82,1542.2612
1,365.82,1542.2612
5,911,1215.8242
4,1075.87,1215.8242
3,965.81,1215.8242
2,296.37,1215.8242
1,296.37,1215.8242
5,664.08,870.5839
4,782.29,870.5839
3,692.68,870.5839
2,216.77,870.5839
1,216.77,870.5839
5,421.17,543.6083
4,497.5,543.6083
3,439.06,543.6083
2,137.17,543.6083
1,137.17,543.6083
5,255.18,214.6277
4,290.18,214.6277
3,251.6,214.6277
2,67.69,214.6277
1,67.69,214.6277
5,97.73,40.3204
4,108.81,40.3204
3,94.31,40.3204
2,18.58,40.3204
1,18.58,40.3204
5,1.97,4.7395
4,0,4.7395
3,0,4.7395
2,0,4.7395
1,0,4.7395
5,0,1.9059
4,0,1.9059
3,0,1.9059
2,0,1.9059
1,0,1.9059
5,0,2.4685
4,0,2.4685
3,0,2.4685
2,0,2.4685
1,0,2.4685
5,0,1.9374
4,0,1.9374
3,0,1.9374
2,0,1.9374
1,0,1.9374
5,0,1.3418
4,0,1.3418
3,0,1.3418
2,0,1.3418
1,0,1.3418
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
