间隔天数,预测值,实际值
4,3898.6,6556.8047
3,4647.86,6556.8047
2,4798.8,6556.8047
1,4496.31,6556.8047
5,3882.82,6616.37
5,4425.11,6616.37
4,3882.82,6616.37
3,4649.75,6616.37
2,4788.76,6616.37
1,4536.72,6616.37
5,4381.03,6526.3896
5,3867.27,6526.3896
4,3867.27,6526.3896
3,4651.46,6526.3896
2,4779.41,6526.3896
1,4547.34,6526.3896
5,4336.97,6457.457
5,3851.79,6457.457
4,3851.79,6457.457
3,4653.09,6457.457
2,4770.97,6457.457
1,4537.75,6457.457
5,4293.2,6355.5625
5,3835.97,6355.5625
4,3835.97,6355.5625
3,4654.55,6355.5625
2,4763.74,6355.5625
1,4528.81,6355.5625
5,4249.91,6318.6226
5,3819.64,6318.6226
4,3819.64,6318.6226
3,4655.71,6318.6226
2,4757.83,6318.6226
1,4518.7,6318.6226
5,3802.62,6291.5264
5,4207.27,6291.5264
4,3802.62,6291.5264
3,4656.64,6291.5264
2,4753.59,6291.5264
1,4505.5,6291.5264
5,3784.45,6206.9883
5,4165.66,6206.9883
4,3784.45,6206.9883
3,4657.98,6206.9883
2,4749.84,6206.9883
1,4493.62,6206.9883
5,2524.75,6143.0356
4,4973.92,6143.0356
3,4814.09,6143.0356
2,3705.77,6143.0356
1,3705.77,6143.0356
5,2557.47,6187.864
4,5015.34,6187.864
3,4802.48,6187.864
2,3732.46,6187.864
1,3732.46,6187.864
5,2589.99,6111.813
4,5041.24,6111.813
3,4787.33,6111.813
2,3759.55,6111.813
